,year,sampCountry,unique_sample_with_pesticides_count,obligatory_unique_sample_with_pesticides_count,voluntary_unique_sample_with_pesticides_count
0,2011,DE,178,0,178
1,2011,BE,11,0,11
2,2011,RO,8,0,8
3,2011,AT,2,0,2
4,2011,CY,1,0,1
5,2011,IE,1,0,1
6,2012,DE,278,0,278
7,2012,RO,10,0,10
8,2012,BE,2,0,2
9,2012,AT,1,0,1
10,2013,DE,286,110,176
11,2013,SK,16,13,3
12,2013,BE,10,0,10
13,2013,RO,5,5,5
14,2013,FR,2,2,2
15,2013,CY,1,1,0
16,2013,ES,1,1,0
17,2013,HU,1,1,0
18,2014,DE,231,0,231
19,2014,BE,7,0,7
20,2014,RO,4,0,4
21,2014,CY,3,0,3
22,2014,HU,1,0,1
23,2015,DE,127,0,127
24,2015,RO,11,0,11
25,2015,HR,10,0,10
26,2015,AT,7,0,7
27,2015,BE,2,0,2
28,2015,CY,1,0,1
29,2016,DE,86,18,68
30,2016,SK,10,10,0
31,2016,RO,8,8,8
32,2016,BE,6,0,6
33,2016,IT,4,0,4
34,2016,GB,3,0,3
35,2016,CY,2,1,2
36,2016,IE,1,0,1
37,2017,DE,65,0,65
38,2017,IT,4,0,4
39,2017,CZ,2,0,2
40,2017,GB,2,0,2
41,2017,IE,2,0,2
42,2017,RO,1,0,1
43,2018,DE,28,0,28
44,2018,GB,7,0,7
45,2018,CZ,1,0,1
46,2018,FR,1,0,1
47,2019,DE,86,52,34
48,2019,FR,2,2,2
49,2019,GB,2,2,2
50,2019,CZ,1,1,0
51,2019,RO,1,1,1
52,2019,SK,1,1,0
53,2020,HU,13,0,13
54,2020,DK,7,0,7
55,2021,DE,37,0,37
56,2021,IE,25,0,25
57,2021,DK,8,0,8
58,2021,HU,7,0,7
59,2021,CZ,1,0,1
60,2021,FR,1,0,1
61,2021,NL,1,0,1
62,2022,DE,32,16,16
63,2022,NL,19,19,19
64,2022,AT,10,10,10
65,2022,IE,5,1,5
66,2022,IT,5,1,5
67,2022,DK,1,1,1
68,2022,FR,1,1,1
69,2023,HU,20,0,20
70,2023,DE,13,0,13
71,2023,DK,9,0,9
72,2023,CY,5,0,5
73,2023,IT,4,0,4
74,2023,IE,3,0,3
75,2023,BE,2,0,2
76,2023,NO,2,0,2
77,2023,PT,1,0,1
78,2024,DE,20,0,20
79,2024,CZ,9,0,9
80,2024,CY,4,0,4
81,2024,ES,4,0,4
82,2024,MK,4,0,4
83,2024,NL,4,0,4
84,2024,BE,2,0,2
85,2024,IE,1,0,1
86,2024,IT,1,0,1
87,2024,PL,1,0,1
