,sampCountry,year,obligaotry_samples,voluntary_samples
0,AT,2011,0.0,282.0
1,AT,2012,0.0,285.0
2,AT,2013,9.0,288.0
3,AT,2014,0.0,293.0
4,AT,2015,0.0,339.0
5,AT,2016,15.0,64.0
6,AT,2017,0.0,1.0
7,AT,2019,32.0,20.0
8,AT,2022,10.0,10.0
9,BA,2018,0.0,1.0
10,BA,2019,0.0,10.0
11,BA,2022,12.0,0.0
12,BE,2011,0.0,33.0
13,BE,2012,0.0,34.0
14,BE,2013,15.0,59.0
15,BE,2014,0.0,90.0
16,BE,2015,0.0,19.0
17,BE,2016,15.0,65.0
18,BE,2019,11.0,11.0
19,BE,2020,0.0,46.0
20,BE,2021,0.0,37.0
21,BE,2022,16.0,16.0
22,BE,2023,0.0,80.0
23,BE,2024,0.0,73.0
24,BG,2013,14.0,14.0
25,BG,2016,0.0,15.0
26,CY,2011,0.0,34.0
27,CY,2012,0.0,15.0
28,CY,2013,15.0,15.0
29,CY,2014,0.0,30.0
30,CY,2015,0.0,26.0
31,CY,2016,15.0,26.0
32,CY,2017,0.0,25.0
33,CY,2019,12.0,12.0
34,CY,2020,0.0,1.0
35,CY,2022,12.0,0.0
36,CY,2023,0.0,5.0
37,CY,2024,0.0,7.0
38,CZ,2013,16.0,16.0
39,CZ,2014,0.0,7.0
40,CZ,2015,0.0,15.0
41,CZ,2016,15.0,15.0
42,CZ,2017,0.0,43.0
43,CZ,2018,0.0,10.0
44,CZ,2019,14.0,0.0
45,CZ,2020,0.0,12.0
46,CZ,2021,0.0,12.0
47,CZ,2022,14.0,0.0
48,CZ,2023,0.0,35.0
49,CZ,2024,0.0,34.0
50,DE,2011,0.0,220.0
51,DE,2012,0.0,536.0
52,DE,2013,271.0,316.0
53,DE,2014,0.0,330.0
54,DE,2015,0.0,398.0
55,DE,2016,128.0,238.0
56,DE,2017,0.0,293.0
57,DE,2018,0.0,191.0
58,DE,2019,197.0,246.0
59,DE,2021,0.0,181.0
60,DE,2022,119.0,216.0
61,DE,2023,0.0,182.0
62,DE,2024,0.0,195.0
63,DK,2011,0.0,1.0
64,DK,2012,0.0,1.0
65,DK,2013,15.0,15.0
66,DK,2014,0.0,13.0
67,DK,2015,0.0,15.0
68,DK,2016,15.0,15.0
69,DK,2017,0.0,15.0
70,DK,2018,0.0,24.0
71,DK,2019,21.0,21.0
72,DK,2020,0.0,28.0
73,DK,2021,0.0,30.0
74,DK,2022,49.0,49.0
75,DK,2023,0.0,49.0
76,DK,2024,0.0,40.0
77,EE,2013,13.0,13.0
78,EE,2016,14.0,14.0
79,EE,2019,13.0,13.0
80,ES,2011,0.0,2.0
81,ES,2012,0.0,2.0
82,ES,2013,44.0,1.0
83,ES,2014,0.0,19.0
84,ES,2015,0.0,21.0
85,ES,2016,61.0,19.0
86,ES,2017,0.0,7.0
87,ES,2018,0.0,2.0
88,ES,2019,67.0,3.0
89,ES,2020,0.0,4.0
90,ES,2021,0.0,3.0
91,ES,2022,52.0,21.0
92,ES,2023,0.0,6.0
93,ES,2024,0.0,27.0
94,FI,2013,14.0,0.0
95,FI,2016,20.0,0.0
96,FI,2019,12.0,0.0
97,FI,2022,12.0,0.0
98,FR,2013,66.0,68.0
99,FR,2015,0.0,2.0
100,FR,2016,67.0,67.0
101,FR,2017,0.0,62.0
102,FR,2018,0.0,200.0
103,FR,2019,405.0,405.0
104,FR,2020,0.0,179.0
105,FR,2021,0.0,160.0
106,FR,2022,309.0,309.0
107,FR,2023,0.0,8.0
108,FR,2024,0.0,40.0
109,GB,2011,0.0,248.0
110,GB,2012,0.0,249.0
111,GB,2013,266.0,266.0
112,GB,2014,0.0,270.0
